mle_mean_similarity,mle_std_similarity,condition_id
4.71936523854079,0.889952746116492,12-1
3.85867261542131,1.15745639669287,12-10
4.01816923037491,0.925679397770273,12-11
3.98555278060491,0.98364413277395,12-2
4.85338279001886,1.03724249943864,12-3
4.38380585963474,0.870902928138239,12-4
4.03033195263915,0.935363660752931,12-5
3.93260610409014,1.00402727155373,12-6
4.3988805815716,0.861128687012671,12-7
5.29369602705028,1.03877327253263,12-8
3.93311731326807,0.958747456360711,12-9
3.09343263280005,1.06214470804346,13-1
1.78958235397965,0.917623731173324,13-10
2.93021013560963,1.07161955853945,13-11
2.68286903273214,1.13780998954376,13-2
3.00662378282376,1.0526628836433,13-3
2.81760260641806,1.0600565151094,13-4
2.69845544666101,1.00516013068895,13-5
3.41835404067481,1.05215839957591,13-6
2.52401837420677,0.979398536359542,13-7
2.27487424421899,1.14654245128364,13-8
2.78914514623044,0.974889795484561,13-9
3.85246283845801,0.887789084501687,14-1
2.08441723700588,0.946303768471545,14-10
4.01181210048154,0.93531706282776,14-11
-0.000768937024997792,7.68895026171571e-05,14-2
3.82922803965659,1.0210223143213,14-3
3.75403697207754,0.968947953345103,14-4
7.88500867118438e-05,7.68895070626461e-05,14-5
3.64358279410348,0.988976502246628,14-6
3.51416113427882,0.913058452795476,14-7
4.53212219613322,0.973433155672761,14-8
4.05348624903159,0.959707748362846,14-9
2.56363113462084,1.06637376063692,23-1
2.62876742315083,1.04846259928725,23-10
2.35041578890866,1.00307961870614,23-11
2.25837017569437,1.08731455382921,23-2
2.58239173913352,1.01999379291936,23-3
2.76471870781801,1.0083920529028,23-4
3.67693814114838,1.05810062217037,23-5
3.23504670049768,1.05992519032578,23-6
2.78256038722972,1.07392118110599,23-7
2.92016378979136,1.06517277898233,23-8
3.0511555187186,1.07051366011572,23-9
4.03202086388567,0.93153066035727,24-1
4.08244657591682,0.929073012522766,24-10
5.67270550379308,1.20677942383504,24-11
-0.00158845465939139,7.68895409913664e-05,24-2
4.52710736470154,0.991922996359459,24-3
3.48736287052165,0.942098549091904,24-4
0.000177361685802171,7.68895067568795e-05,24-5
4.00802922235786,0.936495613760591,24-6
3.63397775531115,0.93799026302375,24-7
4.05537819921888,0.974376234525003,24-8
3.68799423717694,0.944498732034969,24-9
2.73223398999271,1.08881069491542,34-1
1.28541086384592,1.07390197954758,34-10
2.54588570874218,1.04688281634903,34-11
-0.00101619875900229,7.68895893259841e-05,34-2
2.74656918276293,0.992733738956621,34-3
2.94574598550956,1.16679330597467,34-4
-0.000599599229237937,7.6889548014237e-05,34-5
2.44223417700806,1.1800613231579,34-6
1.43195009841251,1.01663272283577,34-7
2.86337388169894,1.02217482201249,34-8
3.5117367102689,1.0383401418504,34-9
