mle_mean_similarity,mle_std_similarity,condition_id
5.02138889179595,0.953512245545061,12-1
4.17166441662029,1.36792329861056,12-10
4.18712866978573,1.05166618804779,12-11
4.10103860857913,1.15425367697474,12-2
5.26462119426261,1.22600199165345,12-3
4.56114678115671,0.923872007473686,12-4
4.0850417600856,0.933886467883022,12-5
3.94010815283352,1.00514409405414,12-6
4.57758065991462,0.877950966657285,12-7
5.30949245210888,1.26719772460517,12-8
3.94276314855222,1.14509497929313,12-9
3.17164708340435,1.02899293357766,13-1
1.99715275980151,1.11023751713754,13-10
2.98144920248275,1.05690814079389,13-11
2.52046685227889,1.14699143068465,13-2
2.91468564970562,1.03432669752961,13-3
2.75023331352471,1.0436350988765,13-4
2.58186341783725,0.976983253678702,13-5
3.33937981029502,1.04587166924614,13-6
2.51678498834804,0.913952129253782,13-7
2.04982648653437,1.26360666769408,13-8
2.66361245533701,0.963550627908342,13-9
3.9302866904283,0.999543918755088,14-1
1.64125298841713,1.01831248374194,14-10
4.16303567806349,0.955900260587067,14-11
-0.000515582323413214,6.98934152795798e-05,14-2
3.80226017274949,1.08858169132538,14-3
3.75875642000721,0.99437972110819,14-4
0.000223550079933192,6.98934527934712e-05,14-5
3.60472590003865,1.06231296644143,14-6
3.61684268628327,0.982164527980201,14-7
4.75400632985979,1.10993599162763,14-8
4.10135920788756,1.10955933060144,14-9
2.47334654578462,1.05472326312276,23-1
2.58724535761346,1.02734722723638,23-10
2.29488032822761,0.965485331718903,23-11
2.03749145450618,1.06793170753974,23-2
2.5170354684102,1.00054463841714,23-3
2.69904015051913,0.962359949206599,23-4
3.74451914364255,1.04953400704372,23-5
3.17200779327938,1.0447796251822,23-6
2.77316087114702,1.09954147826111,23-7
2.8172274747456,1.09333365317955,23-8
3.03636229986611,1.05832888581354,23-9
4.0901672696517,0.962604267049764,24-1
4.2693591314934,0.960537267180488,24-10
5.88679686276551,1.40767838299542,24-11
0.00032870148452506,6.9893429708979e-05,24-2
4.77986731586766,1.17005834795819,24-3
3.50686433723954,1.06083299845131,24-4
-6.27194243524015e-05,6.98934634110587e-05,24-5
4.10954468164859,1.06671879445758,24-6
3.67551188281739,1.01450989841266,24-7
4.10461049303014,1.16056471654656,24-8
3.5843145785109,1.05982539937917,24-9
2.74658806952899,1.09158712698644,34-1
0.93697705462245,1.13782049960089,34-10
2.54336862614894,1.03773408445877,34-11
-0.000786423564455968,6.98935429957978e-05,34-2
2.73375386886702,0.975391812136665,34-3
3.02658517258653,1.18897726503192,34-4
-0.000744660551490602,6.98935566550461e-05,34-5
2.1794234230945,1.2996644443171,34-6
1.06364911116921,1.04289250508022,34-7
2.77617124888372,1.0294008177009,34-8
3.51323085523252,1.09046085791863,34-9
